TP;TN;FN;FP;
0;0;780;46922;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;0;0;47702;data\trainings_results\models\R8b_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R8b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
